iso3,aipi
AUS,0.72710032761097
AUT,0.72456575930119
BEL,0.67247784137726
CAN,0.71315135061741
HRV,0.58169589936733
CYP,0.63239379227161
CZE,0.6462222635746
DNK,0.7785222530365
EST,0.76438219845295
FIN,0.75801736116409
FRA,0.69750864803791
DEU,0.75332881510258
GRC,0.58197875320911
HKG,0.70056740939617
ISL,0.70010085403919
IRL,0.69312816858292
ISR,0.72547018527985
ITA,0.62072303891182
JPN,0.73315840959549
KOR,0.72657443583012
LVA,0.63239780068398
LTU,0.664883852005
LUX,0.73527117073536
MLT,0.65920133888721
NLD,0.76649311184883
NZL,0.75367978215218
NOR,0.70576101541519
PRT,0.64601981639862
SGP,0.80056671798229
SVK,0.59162250161171
SVN,0.63386213779449
ESP,0.64833119511604
SWE,0.74779990315437
CHE,0.75701242685318
GBR,0.73094530403614
USA,0.77126908302307
ALB,0.52679254114628
DZA,0.3704386651516
AGO,0.25965924188495
ARG,0.47380943596363
ARM,0.49288668483496
AZE,0.4709397777915
BHS,0.45751246064901
BHR,0.51525521278381
BRB,0.50465597957373
BLR,0.47078057378531
BLZ,0.42262690514326
BOL,0.37660475820303
BIH,0.42791310697794
BWA,0.41284810006618
BRA,0.50134041905403
BRN,0.49525272101164
BGR,0.57729011774063
CPV,0.43258749693632
CHL,0.58575116842985
CHN,0.63545440137386
COL,0.48949392139912
CRI,0.54015178233385
DOM,0.46881140768528
ECU,0.4420759677887
EGY,0.39405445754528
SLV,0.38972074538469
SWZ,0.30621055886149
FJI,0.44881195574999
GAB,0.32252930104733
GEO,0.52989356964827
GTM,0.39010570943356
GUY,0.42417997121811
HUN,0.5629620552063
IND,0.49250310659409
IDN,0.51630328595638
IRN,0.37832589447498
IRQ,0.26983634382486
JAM,0.4337519928813
JOR,0.48283123970032
KAZ,0.55238711833954
KWT,0.46133247762918
LBN,0.41784849762917
LBY,0.24497598037124
MYS,0.63202629983425
MUS,0.52511297166348
MEX,0.53204418718815
MNG,0.48437660932541
MNE,0.50369333475828
MAR,0.42911085486412
NAM,0.41961172968149
OMN,0.53277696669102
PAK,0.36863802373409
PAN,0.50128082185984
PRY,0.40975987911224
PER,0.49113307148218
PHL,0.49848566204309
POL,0.59688468277454
QAT,0.53459213674068
MKD,0.48198603093624
ROU,0.5836483091116
RUS,0.55922330915928
LCA,0.37418670207262
VCT,0.34185180813074
SAU,0.57690300047398
SRB,0.53747471421957
SYC,0.53065264970064
ZAF,0.49676514416933
LKA,0.4360671415925
SUR,0.4179078489542
SYR,0.29814901389182
THA,0.53571709990501
TTO,0.4356224834919
TUN,0.46540968865156
TUR,0.5401873588562
UKR,0.51248306035995
ARE,0.62818463146687
URY,0.54864098876715
VEN,0.27458252198994
BGD,0.38406448811293
BEN,0.36316419392824
BTN,0.44191746413708
BFA,0.31181989982724
BDI,0.29458386823535
KHM,0.36996492743492
CMR,0.34128637611866
CAF,0.18443748541176
TCD,0.23360607214272
COM,0.25417444482446
COG,0.276611905545
COD,0.24747366458178
CIV,0.36550394445658
DJI,0.31889721751213
ETH,0.25359724834561
GMB,0.35997624322772
GHA,0.42519968003035
GIN,0.32352608814836
GNB,0.26489874348044
HTI,0.2682539857924
HND,0.34181183204055
KEN,0.4451921209693
KGZ,0.42584180086851
LAO,0.33049231767654
LSO,0.35535870492458
LBR,0.3702549636364
MDG,0.30544988438487
MWI,0.34004744514823
MLI,0.29614645242691
MRT,0.23290100693703
MDA,0.4806292578578
MOZ,0.25736496224999
MMR,0.32747298851609
NPL,0.35097929090261
NIC,0.33139400184155
NER,0.32582614198327
NGA,0.33628468960524
PNG,0.29010296240449
RWA,0.43740021437407
SEN,0.39596802741289
SLE,0.29781290516257
SDN,0.23290671221912
TJK,0.36644598096609
TZA,0.3524204865098
TLS,0.42773475497961
TGO,0.31568638980389
UGA,0.35393466055393
VNM,0.4818687364459
YEM,0.2533275578171
ZMB,0.37071997672319
ZWE,0.30479108914733
