countrynewwb,gdp,account_t_d,mobileaccount_t_d,gap
Sri Lanka,17065.0298635432,0.816921293527248,0.0299616477602989,0.7869596457669491
India,11747.9160436011,0.890248224502547,0.231007553610962,0.659240670891585
Nepal,6175.15897150244,0.599911157064883,0.10583436494561,0.49407679211927297
Bangladesh,10153.7083791829,0.432839733431322,0.20768372550151,0.22515600792981197
Pakistan,6573.41613369925,0.272960071761925,0.183578643242878,0.08938142851904698
