Country,GDP per capita (PPP),AIPI (raw),Raw rank (of 165),Income-adjusted residual,Adjusted rank (of 165)
India,11747.9160436011,0.49250310659409,71,0.06950407883552556,29
Pakistan,6573.41613369925,0.36863802373409,119,0.010574621607048973,69
Nepal,6175.15897150244,0.35097929090261,127,-9.45855540895324e-05,82
Bangladesh,10153.7083791829,0.38406448811293,111,-0.02262499778698218,112
Sri Lanka,17065.0298635432,0.4360671415925,91,-0.02868577576371173,117
Bhutan,19594.0028382994,0.44191746413708,89,-0.038290060930744385,124
