Country,gdp,INFORM_Risk,Hazard_Exposure,Vulnerability,Lack_Coping_Capacity
Maldives,28554.8945669737,2.2,1.5,2.0,3.7
Bhutan,19594.0028382994,2.8,1.5,3.7,4.0
Sri Lanka,17065.0298635432,3.1,2.7,2.7,3.9
Nepal,6175.15897150244,4.1,3.2,4.1,5.4
India,11747.9160436011,5.3,7.4,4.7,4.2
Bangladesh,10153.7083791829,5.7,6.9,5.5,4.8
Pakistan,6573.41613369925,6.1,7.2,5.9,5.3
Afghanistan,2236.19907311431,8.1,8.7,8.5,7.1
